"IntegrationTime","Points:0","Points:1","Points:2"
4.4249,-0.4587,1.5881,7.0795
4.4765,-0.489,1.6785,7.0139
4.522,-0.51679,1.7601,6.948
4.6399,-0.58983,1.9696,6.7496
4.682,-0.6187,2.0506,6.662
4.7212,-0.64639,2.1267,6.5719
4.7559,-0.67143,2.1935,6.485
4.9009,-0.77363,2.4472,6.081
5.0463,-0.88219,2.6799,5.572
5.1765,-0.98483,2.8461,5.0198
5.2462,-1.0447,2.9116,4.6837
0,-0.21492,0.052761,1.9103
0.048777,-0.20501,0.026985,2.1034
0.095379,-0.19405,0.0070209,2.3086
0.16469,-0.1774,-0.015137,2.6467
0.2557,-0.15808,-0.033722,3.143
0.33806,-0.14443,-0.044142,3.6485
0.41501,-0.1359,-0.050642,4.1542
0.49337,-0.13183,-0.055746,4.6694
0.57695,-0.13241,-0.061121,5.1947
0.67086,-0.13889,-0.068406,5.7304
0.75663,-0.14976,-0.076599,6.1371
0.85276,-0.16724,-0.088221,6.5038
0.9172,-0.18131,-0.097027,6.6907
1.0318,-0.21477,-0.11754,6.9665
1.1175,-0.24316,-0.13481,7.1038
1.2157,-0.28169,-0.1582,7.2199
1.3334,-0.33621,-0.19129,7.3133
1.4508,-0.39655,-0.22801,7.3691
1.5779,-0.469,-0.27229,7.404
1.6216,-0.49708,-0.28951,7.412
1.6582,-0.52193,-0.30479,7.4172
1.6903,-0.54476,-0.31888,7.4202
1.8529,-0.66427,-0.39354,7.4161
2.004,-0.79571,-0.47701,7.389
2.0693,-0.86298,-0.52014,7.3701
2.1156,-0.91426,-0.55315,7.3539
2.1555,-0.96069,-0.58308,7.3373
2.1807,-0.99124,-0.6028,7.3254
2.2049,-1.0212,-0.62227,7.3124
2.3413,-1.1891,-0.73289,7.22
2.4006,-1.2712,-0.78778,7.1654
2.4577,-1.3541,-0.84356,7.1058
2.5089,-1.4308,-0.89534,7.0442
2.6407,-1.6283,-1.0305,6.8551
2.6903,-1.7095,-1.0873,6.7657
2.732,-1.779,-1.1364,6.6827
2.7637,-1.833,-1.1746,6.6134
2.792,-1.8808,-1.209,6.547
2.917,-2.0732,-1.3541,6.2206
2.9696,-2.1535,-1.4184,6.0534
3.001,-2.2005,-1.4572,5.9457
3.0285,-2.2408,-1.491,5.8467
3.0531,-2.2758,-1.5213,5.7537
3.1742,-2.4169,-1.6593,5.2687
3.2973,-2.5129,-1.791,4.702
3.4086,-2.5401,-1.9054,4.132
3.4431,-2.5339,-1.9418,3.9464
3.5369,-2.4766,-2.044,3.4396
3.559,-2.4536,-2.0707,3.3214
3.6508,-2.3192,-2.193,2.8405
3.7391,-2.1216,-2.3441,2.4008
3.837,-1.8094,-2.5509,1.9627
3.929,-1.4097,-2.7687,1.6015
3.9687,-1.1912,-2.8644,1.4598
3.9874,-1.0761,-2.9078,1.3963
4.0077,-0.94413,-2.952,1.3304
4.0765,-0.46104,-3.0664,1.1296
4.0899,-0.35447,-3.0817,1.092
4.1468,0.11745,-3.1027,0.95277
4.1991,0.59461,-3.0477,0.84249
4.2236,0.83035,-2.9915,0.79542
0,-1.596,-0.69484,0.88426
0.033065,-1.4478,-0.85868,0.91104
0.046247,-1.3853,-0.9158,0.92244
0.12696,-0.95434,-1.1807,1.0055
0.15078,-0.82743,-1.2244,1.0332
0.17329,-0.70847,-1.2532,1.061
0.20401,-0.54878,-1.2741,1.1021
0.2221,-0.45819,-1.2769,1.1279
0.25169,-0.31454,-1.2683,1.1735
0.28994,-0.14173,-1.2355,1.2381
0.3207,-0.016247,-1.1943,1.2951
0.3642,0.14112,-1.1171,1.3854
